term_code,semester,subject,catalog_nbr,class_nbr,class_description,dept_code
1,Fall,BIOS,101,5350,Human Anatomy,21
1,Fall,SPAN,101,6171,Beginner Spanish,16
1,Fall,PHYS,101,11991,General Physics,22
1,Fall,PHYS,101,8405,General Physics,22
1,Fall,SPAN,101,6155,Beginner Spanish,16
1,Fall,SPAN,101,6188,Beginner Spanish,16
1,Fall,SPAN,101,6182,Beginner Spanish,16
1,Fall,SPAN,101,6165,Beginner Spanish,16
1,Fall,PHYS,101,8404,General Physics,22
1,Fall,SPAN,101,6117,Beginner Spanish,16
1,Fall,BIOS,101,5391,Human Anatomy,21
1,Fall,PHYS,101,9781,General Physics,22
1,Fall,BIOS,101,5341,Human Anatomy,21
1,Fall,BIOS,101,5406,Human Anatomy,21
1,Fall,SPAN,101,6178,Beginner Spanish,16
1,Fall,BIOS,101,5389,Human Anatomy,21
1,Fall,SPAN,101,6158,Beginner Spanish,16
1,Fall,SPAN,101,6139,Beginner Spanish,16
1,Fall,SPAN,101,6173,Beginner Spanish,16
1,Fall,BIOS,101,5247,Human Anatomy,21
1,Fall,SPAN,101,6174,Beginner Spanish,16
1,Fall,BIOS,101,5349,Human Anatomy,21
1,Fall,SPAN,101,6120,Beginner Spanish,16
1,Fall,SPAN,101,6163,Beginner Spanish,16
1,Fall,SPAN,101,6122,Beginner Spanish,16
1,Fall,SPAN,101,6187,Beginner Spanish,16
1,Fall,SPAN,101,13836,Beginner Spanish,16
1,Fall,SPAN,101,6183,Beginner Spanish,16
1,Fall,SPAN,101,6157,Beginner Spanish,16
1,Fall,SPAN,101,14717,Beginner Spanish,16
1,Fall,SPAN,101,14561,Beginner Spanish,16
1,Fall,BIOS,101,5241,Human Anatomy,21
1,Fall,PHYS,101,14586,General Physics,22
1,Fall,BIOS,101,5407,Human Anatomy,21
1,Fall,BIOS,101,5395,Human Anatomy,21
1,Fall,SPAN,101,6121,Beginner Spanish,16
1,Fall,BIOS,101,5345,Human Anatomy,21
1,Fall,SPAN,101,9322,Beginner Spanish,16
1,Fall,SPAN,101,14184,Beginner Spanish,16
1,Fall,SPAN,101,6180,Beginner Spanish,16
1,Fall,SPAN,101,6143,Beginner Spanish,16
1,Fall,SPAN,101,6145,Beginner Spanish,16
1,Fall,BIOS,101,5245,Human Anatomy,21
1,Fall,SPAN,101,12081,Beginner Spanish,16
1,Fall,SPAN,101,6138,Beginner Spanish,16
1,Fall,PHYS,101,9784,General Physics,22
1,Fall,PHYS,101,9782,General Physics,22
1,Fall,PHYS,101,8833,General Physics,22
1,Fall,SPAN,101,6134,Beginner Spanish,16
1,Fall,BIOS,101,5390,Human Anatomy,21
1,Fall,SPAN,101,6123,Beginner Spanish,16
1,Fall,SPAN,101,6131,Beginner Spanish,16
1,Fall,SPAN,101,6133,Beginner Spanish,16
1,Fall,SPAN,101,6156,Beginner Spanish,16
1,Fall,PHYS,101,8407,General Physics,22
1,Fall,SPAN,101,6179,Beginner Spanish,16
1,Fall,SPAN,101,6135,Beginner Spanish,16
1,Fall,SPAN,101,6144,Beginner Spanish,16
1,Fall,SPAN,101,6126,Beginner Spanish,16
1,Fall,BIOS,101,5396,Human Anatomy,21
1,Fall,BIOS,101,5346,Human Anatomy,21
1,Fall,SPAN,101,14553,Beginner Spanish,16
1,Fall,SPAN,101,15257,Beginner Spanish,16
1,Fall,PHYS,101,15276,General Physics,22
1,Fall,BIOS,101,5243,Human Anatomy,21
1,Fall,PHYS,101,8406,General Physics,22
1,Fall,SPAN,101,15259,Beginner Spanish,16
1,Fall,SPAN,101,6125,Beginner Spanish,16
1,Fall,PHYS,101,8831,General Physics,22
1,Fall,SPAN,101,6181,Beginner Spanish,16
1,Fall,BIOS,101,5343,Human Anatomy,21
1,Fall,PHYS,101,8408,General Physics,22
1,Fall,PHYS,101,9787,General Physics,22
1,Fall,BIOS,101,5249,Human Anatomy,21
1,Fall,PHYS,101,8412,General Physics,22
1,Fall,SPAN,101,6146,Beginner Spanish,16
1,Fall,SPAN,101,6141,Beginner Spanish,16
1,Fall,BIOS,101,5393,Human Anatomy,21
1,Fall,SPAN,101,6154,Beginner Spanish,16
1,Fall,SPAN,101,13556,Beginner Spanish,16
1,Fall,BIOS,101,5392,Human Anatomy,21
1,Fall,SPAN,101,6130,Beginner Spanish,16
1,Fall,SPAN,101,6129,Beginner Spanish,16
1,Fall,SPAN,101,6167,Beginner Spanish,16
1,Fall,SPAN,101,6151,Beginner Spanish,16
1,Fall,SPAN,101,6140,Beginner Spanish,16
1,Fall,SPAN,101,6119,Beginner Spanish,16
1,Fall,SPAN,101,6168,Beginner Spanish,16
1,Fall,SPAN,101,6184,Beginner Spanish,16
1,Fall,BIOS,101,5394,Human Anatomy,21
1,Fall,BIOS,101,5344,Human Anatomy,21
1,Fall,SPAN,101,6190,Beginner Spanish,16
1,Fall,BIOS,101,5342,Human Anatomy,21
